Opportunity ID,Opportunity Owner,Currency,Amount,Close Date,Location,Segment,Category,ACV Type,Subvertical,Product Family,Business Unit,Revenue Type Start Date ,Revenue Type End Date ,Location Start Date,Location End Date,Segment Start Date,Segment End Date,Category Start Date,Category End Date,ACV Type Start Date,ACV Type End Date,Subvertical Start Date,Subvertical End Date,Product Family Start Date,Product Family End Date,Business Unit Start Date,Business Unit End Date
3707384-15976-1,667332,USD,"15,020.00",31/10/2023,United States,FS AM Enterprise,Recurring Adjustment,Recurring Adjustment,PCM,DealCloud,DealCloud,31/10/2023,,31/10/2023,,31/10/2023,,31/10/2023,,31/10/2023,,31/10/2023,,31/10/2023,,31/10/2023,
3702396-15704-2,667391,USD,"1,890.00",01/10/2023,United States,FS AM Portfolio,SFA,SFA,PCM,DealCloud,DealCloud,01/10/2023,,01/10/2023,,01/10/2023,,01/10/2023,,01/10/2023,,01/10/2023,,01/10/2023,,01/10/2023,
3697379-15208-3,667208,USD,"2,050.00",30/09/2023,Brazil,FS AM Portfolio,Recurring Adjustment,Recurring Adjustment,PCM,DealCloud,DealCloud,30/09/2023,,30/09/2023,,30/09/2023,,30/09/2023,,30/09/2023,,30/09/2023,,30/09/2023,,30/09/2023,
7691164-3980-4,1113689,USD,"7,935.78",14/03/2023,United Kingdom,Legal EMEA,Module,Module,Legal,IIS,Tech,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,
7691164-3979-5,1113689,USD,"18,516.83",14/03/2023,United Kingdom,Legal EMEA,Module,Module,Legal,Time,Operations & Finance,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,
7691164-3978-6,1113689,USD,"14,548.93",14/03/2023,United Kingdom,Legal EMEA,Module,Module,Legal,Intake,Risk & Compliance,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,
7691164-17780-7,1113689,USD,"14,548.93",14/03/2023,United Kingdom,Legal EMEA,Module,Module,Legal,Conflicts,Risk & Compliance,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,
3699215-17766-8,667306,USD,"248,251.20",14/03/2023,United States,FS AM Enterprise,License Uplift,Uplift,PCM,DealCloud,DealCloud,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,,14/03/2023,
7726491-17736-9,5994160,USD,"3,182.76",13/03/2023,United States,FS AM Portfolio,License Uplift,Subscription Add-On,PCM,DealCloud,DealCloud,13/03/2023,,13/03/2023,,13/03/2023,,13/03/2023,,13/03/2023,,13/03/2023,,13/03/2023,,13/03/2023,
7715621-17735-10,667242,USD,"2,835.00",13/03/2023,Sweden,FS AM EMEA,License Uplift,Uplift,PCM,DealCloud,DealCloud,13/03/2023,,13/03/2023,,13/03/2023,,13/03/2023,,13/03/2023,,13/03/2023,,13/03/2023,,13/03/2023,
